M_fetched,M_used,stream_id,success_probability,conditional_fidelity
128,96,34,0.04008081495072864,0.849014899380795
128,96,35,0.05130486096799412,0.9304064443295393
128,96,36,0.0608203148329156,0.7722056082855899
128,96,37,0.04167562164979403,0.8909377427447097
128,96,38,0.05420642701893751,0.9790918790366143
128,96,39,0.049709082299537063,0.8324604868688977
256,192,0,0.04156494784326881,0.8992956754612457
256,192,1,0.04904162498384011,0.9817349774359587
256,192,2,0.05894472018434086,0.9830183744797523
256,192,3,0.04204405813064576,0.8689349787720205
256,192,4,0.054929144265054984,0.8997103106348412
256,192,5,0.037558899323459675,0.9934034202432274
256,192,6,0.04753055818505595,0.9844953123612653
256,192,7,0.047339902209864566,0.9519670961362314
256,192,8,0.05171189586996641,0.9802403011756827
256,192,9,0.040796880762103666,0.9709304737712233
256,192,10,0.0468170388486854,0.9655429235139439
256,192,11,0.05456896436375124,0.9070313760068108
256,192,12,0.04623503148075732,0.9484466687378931
256,192,13,0.04803644974167306,0.9848845942831979
256,192,14,0.05535818473249042,0.930278581849526
256,192,15,0.04200221191242781,0.995921322564672
256,192,16,0.06475352440554909,0.9302442894156009
256,192,17,0.05652261859571119,0.9229661366899582
256,192,18,0.05181039325146125,0.8702242412903827
256,192,19,0.05404763754895393,0.8315053414753582
256,192,20,0.035084341468671544,0.9945184783916581
256,192,21,0.03505508421816251,0.9250647084619821
256,192,22,0.04144907832534366,0.99262176439462
256,192,23,0.04784096704053927,0.9647485553544769
256,192,24,0.04631163985501913,0.9538699882600297
256,192,25,0.0592676610945416,0.9544524709683024
256,192,26,0.039786164854921945,0.9620974823460781
256,192,27,0.042520381127749,0.9778344905691606
256,192,28,0.04345776337764217,0.9876899234769262
256,192,29,0.04241089837506834,0.9103499301169599
256,192,30,0.049816663782576806,0.9813384707064832
256,192,31,0.05164965366870312,0.9562072807203409
256,192,32,0.05596208202909565,0.9389775736296868
256,192,33,0.044613247246231336,0.9566989187204131
256,192,34,0.04569490978823312,0.9512950039570047
256,192,35,0.04067377583857084,0.9441764214578343
256,192,36,0.05871382160194905,0.7935624492850355
256,192,37,0.04144123077746256,0.9393984264054758
256,192,38,0.05568151368453105,0.9146859346017593
256,192,39,0.04732753229683078,0.9863975444839332
