M_over_N,M_data,stream_index,ideal_F_echo,transpiled_depth_local,local_cx_count,generic_noise_F_echo,shot_ci95_halfwidth,counts
8,32,10,0.7685062871369085,348,180,0.50390625,0.021654484301169098,"{""00"": 1032, ""01"": 347, ""10"": 348, ""11"": 321}"
8,32,11,1.0,417,216,0.5966796875,0.021246469270978858,"{""00"": 1222, ""01"": 271, ""10"": 278, ""11"": 277}"
8,32,12,0.7685062871369089,486,252,0.466796875,0.021607345096796887,"{""00"": 956, ""01"": 378, ""10"": 365, ""11"": 349}"
8,32,13,0.8305820074700946,440,228,0.5263671875,0.02162501365945087,"{""00"": 1078, ""01"": 353, ""10"": 360, ""11"": 257}"
8,32,14,0.7016407412190943,463,240,0.4287109375,0.021433906492409595,"{""00"": 878, ""01"": 441, ""10"": 401, ""11"": 328}"
8,32,15,0.7685062871369085,348,180,0.53173828125,0.021611473881970756,"{""00"": 1089, ""01"": 307, ""10"": 354, ""11"": 298}"
8,32,16,0.8901650429449554,371,192,0.572265625,0.021427771268108214,"{""00"": 1172, ""01"": 321, ""10"": 273, ""11"": 282}"
8,32,17,0.9714548246917326,440,228,0.59619140625,0.02125062608059535,"{""00"": 1221, ""01"": 296, ""10"": 291, ""11"": 240}"
8,32,18,0.7685062871369085,348,180,0.51611328125,0.021643897262779183,"{""00"": 1057, ""01"": 324, ""10"": 332, ""11"": 335}"
8,32,19,0.6250000000000001,509,264,0.39990234375,0.021216758606314418,"{""00"": 819, ""01"": 419, ""10"": 418, ""11"": 392}"
8,32,20,0.653805312173458,532,276,0.42041015625,0.02137903400730077,"{""00"": 861, ""01"": 370, ""10"": 379, ""11"": 438}"
8,32,21,0.8305820074700946,440,228,0.49951171875,0.021655134847857672,"{""00"": 1023, ""01"": 377, ""10"": 319, ""11"": 329}"
8,32,22,0.7900290888674126,325,168,0.5302734375,0.021615415670079772,"{""00"": 1086, ""01"": 295, ""10"": 289, ""11"": 378}"
8,32,23,0.7900290888674126,325,168,0.5302734375,0.021615415670079772,"{""00"": 1086, ""01"": 263, ""10"": 330, ""11"": 369}"
8,32,24,1.0,417,216,0.578125,0.021389166704936003,"{""00"": 1184, ""01"": 282, ""10"": 302, ""11"": 280}"
8,32,25,0.8982315199883694,486,252,0.4921875,0.02165250156213631,"{""00"": 1008, ""01"": 311, ""10"": 333, ""11"": 396}"
8,32,26,0.7016407412190941,371,192,0.466796875,0.021607345096796887,"{""00"": 956, ""01"": 390, ""10"": 426, ""11"": 276}"
8,32,27,0.8982315199883694,348,180,0.552734375,0.021534366152402694,"{""00"": 1132, ""01"": 279, ""10"": 287, ""11"": 350}"
8,32,28,0.8305820074700946,394,204,0.52783203125,0.02162157004347803,"{""00"": 1081, ""01"": 358, ""10"": 322, ""11"": 287}"
8,32,29,0.12499999999999997,509,264,0.17578125,0.016485366791453224,"{""00"": 360, ""01"": 461, ""10"": 424, ""11"": 803}"
16,64,0,0.9927944801512113,808,420,0.42626953125,0.02141840853544837,"{""00"": 873, ""01"": 392, ""10"": 410, ""11"": 373}"
16,64,1,0.8664192945248947,854,444,0.38818359375,0.021106695401639168,"{""00"": 795, ""01"": 452, ""10"": 393, ""11"": 408}"
16,64,2,0.47427679111061416,831,432,0.3115234375,0.020057695715988384,"{""00"": 638, ""01"": 514, ""10"": 470, ""11"": 426}"
16,64,3,0.9737643632790332,716,372,0.43896484375,0.021493196198037606,"{""00"": 899, ""01"": 389, ""10"": 342, ""11"": 418}"
16,64,4,0.9368011046134544,716,372,0.4208984375,0.021382433022061127,"{""00"": 862, ""01"": 420, ""10"": 392, ""11"": 374}"
16,64,5,0.9619397662556434,877,456,0.3994140625,0.021212426496899906,"{""00"": 818, ""01"": 422, ""10"": 420, ""11"": 388}"
