path,M_fetched,M_used,stream_id,success_probability,overlap_probability,conditional_direction_fidelity,phase_insensitive_l2,max_abs_phase_used,max_abs_phase_discarded,signal_outside_fit_fraction_used,phase_branch_ambiguity_fraction_used,block_unitarity_error,unused_fraction
active_sampled,2048,1536,1,0.051037455290471635,0.04241103017010083,0.830978541714612,0.42052290245779556,1.0590757216877462,0.7945298832139587,0.010416666666666666,0.0,2.4746415992370337e-16,0.25
active_sampled,2048,1536,2,0.0517697458405517,0.04702391386979082,0.9083280805477043,0.30639035680021437,1.2046948860260132,1.1471706205154684,0.015625,0.0,2.242774864195699e-16,0.25
active_sampled,2048,1536,3,0.042806459484962055,0.03724021888338952,0.8699672743659643,0.3668232207407884,0.9905117855352842,0.8923234475691222,0.0,0.0,2.4505341635354636e-16,0.25
active_sampled,2048,1536,4,0.04960504064188276,0.044577853362814716,0.8986557169590652,0.3225692672308902,1.0580904083291167,0.8119625755213163,0.010416666666666666,0.0,2.4929592096934456e-16,0.25
active_sampled,2048,1536,5,0.04391481892718679,0.03730343281582396,0.8494497695111787,0.39583836842198133,1.1688016105572197,1.1929428238298776,0.020833333333333332,0.0,2.2739707294303626e-16,0.25
active_sampled,2048,1536,6,0.05329781576762524,0.04676363925440108,0.8774025460684409,0.3558154542597275,1.0584012997328804,1.1305601425279406,0.010416666666666666,0.0,2.320390191384728e-16,0.25
active_sampled,2048,1536,7,0.04251864046937677,0.03729568774897699,0.8771608719671667,0.35617785131970425,1.1703822057850701,1.2133515278816331,0.020833333333333332,0.0,2.313057852886408e-16,0.25
active_sampled,2048,1536,8,0.055651615684697536,0.04906208501912143,0.8815931831537459,0.34947979213469044,1.2877597207929599,1.302871840166548,0.015625,0.0,2.4776302955358307e-16,0.25
active_sampled,2048,1536,9,0.048121345220855316,0.041226996938907835,0.8567299344956895,0.38575362813228525,0.913003259930621,0.8617117851639535,0.0,0.0,2.446909243062696e-16,0.25
active_sampled,2048,1536,10,0.04465280051796852,0.039713989295401354,0.8893952637846362,0.33740910127273693,0.9007113002940441,0.9259085634332679,0.0,0.0,2.407898262661281e-16,0.25
