path,unit_samples,M_fetched,M_used,repeat,success_norm2_surrogate,conditional_direction_fidelity,padding_leakage
expected_operator,128,384,384,10,0.01497082837840085,0.9998122498591432,0.0
expected_operator,128,384,384,11,0.014885907264481113,0.9999166872513052,0.0
expected_operator,128,384,384,12,0.01482227097061099,0.9999460946791511,0.0
expected_operator,128,384,384,13,0.01483192924537317,0.9999370640733667,0.0
expected_operator,128,384,384,14,0.014878876872321662,0.9999278782041628,0.0
expected_operator,128,384,384,15,0.014833447023514574,0.9999349315616199,0.0
expected_operator,128,384,384,16,0.014882104176248984,0.9999008302533574,0.0
expected_operator,128,384,384,17,0.014829460206865337,0.9999562594253557,0.0
expected_operator,128,384,384,18,0.014774667415519962,0.9999584474671637,0.0
expected_operator,128,384,384,19,0.014912787376963759,0.9999265102731028,0.0
expected_operator,256,768,768,0,0.015276989518123157,0.9999492527590002,0.0
expected_operator,256,768,768,1,0.015257843382405956,0.9999332995562359,0.0
expected_operator,256,768,768,2,0.015254861494067658,0.9999122618695537,0.0
expected_operator,256,768,768,3,0.015231022892996118,0.9999614980411009,0.0
expected_operator,256,768,768,4,0.015274781904080596,0.9999384414141216,0.0
expected_operator,256,768,768,5,0.015306790148993533,0.9999075124361955,0.0
expected_operator,256,768,768,6,0.015326345728917262,0.9999129816080627,0.0
expected_operator,256,768,768,7,0.015360389683369613,0.9998549318163052,0.0
expected_operator,256,768,768,8,0.015317870190367145,0.9999229048971114,0.0
expected_operator,256,768,768,9,0.015265699734840373,0.999932752243083,0.0
expected_operator,256,768,768,10,0.015344000627001269,0.9998961050469126,0.0
expected_operator,256,768,768,11,0.015314419463877063,0.9999538856800372,0.0
expected_operator,256,768,768,12,0.015248766005689796,0.9999552163920937,0.0
expected_operator,256,768,768,13,0.015272255708454122,0.9999475472523888,0.0
expected_operator,256,768,768,14,0.015326680458080387,0.9999136450764274,0.0
expected_operator,256,768,768,15,0.015300984598800143,0.999911321928012,0.0
expected_operator,256,768,768,16,0.015392211804156859,0.9998465385515378,0.0
expected_operator,256,768,768,17,0.015352398447580412,0.9998927491892465,0.0
expected_operator,256,768,768,18,0.01538517342937745,0.9998634702151493,0.0
expected_operator,256,768,768,19,0.015313240499808294,0.9998825862471226,0.0
expected_operator,512,1536,1536,0,0.0155031085819468,0.9999448991845122,0.0
expected_operator,512,1536,1536,1,0.015532754017087678,0.9998997896056362,0.0
expected_operator,512,1536,1536,2,0.015498899281496763,0.9999550431728766,0.0
expected_operator,512,1536,1536,3,0.015563504331263581,0.9998640886003136,0.0
expected_operator,512,1536,1536,4,0.015563652692994465,0.9998796903873273,0.0
expected_operator,512,1536,1536,5,0.01548674063150519,0.9999425223814906,0.0
expected_operator,512,1536,1536,6,0.015536513457548858,0.9999551289177234,0.0
expected_operator,512,1536,1536,7,0.015464523143679756,0.9999577264953502,0.0
expected_operator,512,1536,1536,8,0.015428242358944879,0.999964960842832,0.0
expected_operator,512,1536,1536,9,0.01548544498470456,0.9999414795173969,0.0
expected_operator,512,1536,1536,10,0.015493392323939068,0.9999530976312078,0.0
expected_operator,512,1536,1536,11,0.015447842472511939,0.9999643160643404,0.0
expected_operator,512,1536,1536,12,0.015544136726863158,0.9999250449529832,0.0
expected_operator,512,1536,1536,13,0.015466033831452477,0.9999429754982861,0.0
expected_operator,512,1536,1536,14,0.015454690626114698,0.999953061867129,0.0
expected_operator,512,1536,1536,15,0.015524831533167305,0.9999351762154411,0.0
expected_operator,512,1536,1536,16,0.015464661002051005,0.999963397211932,0.0
expected_operator,512,1536,1536,17,0.015518649347898962,0.9999439797978292,0.0
expected_operator,512,1536,1536,18,0.015477773777529225,0.9999561993452925,0.0
expected_operator,512,1536,1536,19,0.01550523361058655,0.9999519866524375,0.0
expected_operator,1024,3072,3072,0,0.01556137079877838,0.9999425393226112,0.0
expected_operator,1024,3072,3072,1,0.015690926206896667,0.9999313475109983,0.0
expected_operator,1024,3072,3072,2,0.015556604560265027,0.999952850170423,0.0
expected_operator,1024,3072,3072,3,0.01562664600175072,0.9999378555975147,0.0
expected_operator,1024,3072,3072,4,0.01562678952082485,0.9999341939635418,0.0
expected_operator,1024,3072,3072,5,0.015548923627014766,0.9999674682296806,0.0
expected_operator,1024,3072,3072,6,0.015614830252680529,0.9999374045881331,0.0
expected_operator,1024,3072,3072,7,0.015605525393564806,0.9999459069268716,0.0
expected_operator,1024,3072,3072,8,0.015612524162332282,0.9999444254619505,0.0
expected_operator,1024,3072,3072,9,0.015743390414759723,0.9998751275815743,0.0
expected_operator,1024,3072,3072,10,0.015594344993761526,0.9999370582107664,0.0
expected_operator,1024,3072,3072,11,0.015688116042212104,0.9998982386123018,0.0
expected_operator,1024,3072,3072,12,0.015709124508591205,0.9998762832863225,0.0
expected_operator,1024,3072,3072,13,0.015634375583970114,0.9999409671630128,0.0
expected_operator,1024,3072,3072,14,0.015685490855557444,0.999865281915163,0.0
expected_operator,1024,3072,3072,15,0.015621632290278801,0.9999565522082964,0.0
expected_operator,1024,3072,3072,16,0.01572211038345764,0.9998829116146601,0.0
expected_operator,1024,3072,3072,17,0.015625572912066996,0.9999383987563003,0.0
expected_operator,1024,3072,3072,18,0.01563050907847459,0.9999111441113863,0.0
expected_operator,1024,3072,3072,19,0.015668696502496995,0.9999134475525346,0.0
