method,source_input_contract,source_input_l2_norm,unit_samples_per_group,replicate,accounted_samples_total,qsvt_consumed_samples,unused_samples,used_fraction,actively_drawn_pairs,rng_seed,classical_weight_scale_reused,classical_intercept_reused,success_probability,fidelity,test_accuracy,raw_target_overlap,orientation_multiplier,orientation_flipped,relative_weight_l2_error
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,12,512,384,128,0.75,512,20273741,5.726650464525151,0.03129082689345313,0.07476490696868643,0.30313529787453336,0.59492,0.5505772406071044,1.0,False,0.9480746377716215
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,13,512,384,128,0.75,512,20273742,5.726650464525151,0.03129082689345313,0.09660045049069868,0.19244187765353568,0.59148,0.43868197780799667,1.0,False,1.0595452063899902
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,14,512,384,128,0.75,512,20273743,5.726650464525151,0.03129082689345313,0.12818257030885197,0.19911739886516897,0.58976,0.4462257263596183,1.0,False,1.0524013242488643
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,15,512,384,128,0.75,512,20273744,5.726650464525151,0.03129082689345313,0.08236836156192753,0.13938438951144855,0.57108,0.37334218822877296,1.0,False,1.1195157987015878
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,16,512,384,128,0.75,512,20273745,5.726650464525151,0.03129082689345313,0.09323171085971971,0.2548038563756967,0.57772,0.5047809984297118,1.0,False,0.9952075176266387
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,17,512,384,128,0.75,512,20273746,5.726650464525151,0.03129082689345313,0.11241663705229211,0.27958572739250837,0.5818,0.5287586664939955,1.0,False,0.9708154649633518
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,18,512,384,128,0.75,512,20273747,5.726650464525151,0.03129082689345313,0.0647758472674679,0.20020335007586892,0.56216,0.44744089003562126,1.0,False,1.0512460320632642
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,128,19,512,384,128,0.75,512,20273748,5.726650464525151,0.03129082689345313,0.06569623205531294,0.18639490184987118,0.57688,0.4317347586769812,1.0,False,1.0660818367489606
expected_channel_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,0,768,768,0,1.0,0,20260729,5.726650464525151,0.03129082689345313,0.014013176643002593,0.9998812206843813,0.6776,0.9999406085785202,1.0,False,0.010898754193005808
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,0,1024,768,256,0.75,1024,20274729,5.726650464525151,0.03129082689345313,0.08588419133589155,0.4861089969516159,0.62928,0.6972151726343998,1.0,False,0.7781835610774621
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,1,1024,768,256,0.75,1024,20274730,5.726650464525151,0.03129082689345313,0.056778007819185815,0.4283550709010472,0.6176,0.6544884039469662,1.0,False,0.8312780474101717
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,2,1024,768,256,0.75,1024,20274731,5.726650464525151,0.03129082689345313,0.09359350936610897,0.48752158715419575,0.62824,0.6982274608995236,1.0,False,0.7768816371886729
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,3,1024,768,256,0.75,1024,20274732,5.726650464525151,0.03129082689345313,0.0937502621624902,0.44424015656177834,0.62816,0.6665134331442828,1.0,False,0.8166842313351189
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,4,1024,768,256,0.75,1024,20274733,5.726650464525151,0.03129082689345313,0.06340604781742282,0.5090938190439099,0.635,0.7135081072026511,1.0,False,0.7569569245305162
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,5,1024,768,256,0.75,1024,20274734,5.726650464525151,0.03129082689345313,0.07679973547414481,0.4823191300967423,0.64036,0.6944919942639672,1.0,False,0.7816751316704822
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,6,1024,768,256,0.75,1024,20274735,5.726650464525151,0.03129082689345313,0.04818946169390043,0.3480964006347288,0.60524,0.589996949682563,1.0,False,0.9055418823195723
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,7,1024,768,256,0.75,1024,20274736,5.726650464525151,0.03129082689345313,0.053568287751290106,0.40837433620340535,0.62284,0.6390417327556983,1.0,False,0.8496567156732202
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,8,1024,768,256,0.75,1024,20274737,5.726650464525151,0.03129082689345313,0.07852097948748159,0.5569864017734188,0.64036,0.7463152160939899,1.0,False,0.7122987911066676
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,9,1024,768,256,0.75,1024,20274738,5.726650464525151,0.03129082689345313,0.05033584020050822,0.3905708322958317,0.61136,0.6249566643342814,1.0,False,0.8660754420553889
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,10,1024,768,256,0.75,1024,20274739,5.726650464525151,0.03129082689345313,0.06404042990467798,0.5377022143546132,0.6428,0.7332818110076188,1.0,False,0.7303672897828617
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,11,1024,768,256,0.75,1024,20274740,5.726650464525151,0.03129082689345313,0.07723519768747937,0.35580685880755486,0.60064,0.5964954809615534,1.0,False,0.898336817723115
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,12,1024,768,256,0.75,1024,20274741,5.726650464525151,0.03129082689345313,0.08210143470031885,0.42638897993109987,0.62908,0.6529846705176928,1.0,False,0.8330850250512336
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,13,1024,768,256,0.75,1024,20274742,5.726650464525151,0.03129082689345313,0.09464921334670182,0.45406156212319015,0.62452,0.6738409026789559,1.0,False,0.8076621785388295
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,14,1024,768,256,0.75,1024,20274743,5.726650464525151,0.03129082689345313,0.06933366225337301,0.4563459720885707,0.63316,0.6755338422970167,1.0,False,0.8055633528196071
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,15,1024,768,256,0.75,1024,20274744,5.726650464525151,0.03129082689345313,0.06182154930121475,0.3821186265699489,0.61652,0.6181574448067004,1.0,False,0.8738907885923725
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,16,1024,768,256,0.75,1024,20274745,5.726650464525151,0.03129082689345313,0.11204907739015717,0.46625510959234545,0.6212,0.6828287556864792,1.0,False,0.7964562063459872
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,17,1024,768,256,0.75,1024,20274746,5.726650464525151,0.03129082689345313,0.06733920585019944,0.34000433660940343,0.60736,0.5830989080845577,1.0,False,0.9131276930587992
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,18,1024,768,256,0.75,1024,20274747,5.726650464525151,0.03129082689345313,0.08256591321337661,0.5426108025618798,0.6344,0.7366212069726745,1.0,False,0.7257806735196598
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,256,19,1024,768,256,0.75,1024,20274748,5.726650464525151,0.03129082689345313,0.05760689937672967,0.370100261636074,0.60876,0.6083586620046385,1.0,False,0.8850325847056271
expected_channel_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,512,0,1536,1536,0,1.0,0,20260729,5.726650464525151,0.03129082689345313,0.014868770815120183,0.9998887228546453,0.67756,0.9999443598794111,1.0,False,0.010548945026776741
